id,userid,itemid,rating
1,1,1,4.50
2,1,2,3.80
3,1,3,3.60
4,1,4,0.50
5,1,5,3.60
6,1,6,4.20
7,1,7,4.40
8,1,8,4.80
9,1,9,2.00
10,1,10,0.90
11,1,11,3.80
12,1,12,0.30
13,1,13,3.60
14,1,14,0.90
15,1,15,1.90
16,1,16,3.10
17,1,17,3.90
18,1,18,3.10
19,1,19,2.90
20,1,20,2.10
21,1,21,0.40
22,1,22,2.40
23,1,23,0.60
24,1,24,0.10
25,1,25,4.00
26,1,26,2.80
27,1,27,1.30
28,1,28,2.70
29,1,29,3.50
30,1,30,1.50
31,1,31,1.00
32,1,32,2.70
33,1,33,2.90
34,1,34,1.20
35,1,35,3.90
36,1,36,3.00
37,1,37,4.90
38,1,38,3.50
39,1,39,2.50
40,1,40,3.80
41,1,41,0.40
42,1,42,3.80
43,1,43,3.80
44,1,44,3.80
45,1,45,0.60
46,1,46,3.10
47,1,47,1.30
48,1,48,0.40
49,1,49,1.60
50,1,50,3.50
51,1,51,3.70
52,1,52,0.90
53,1,53,4.60
54,1,54,1.30
55,1,55,0.60
56,1,56,3.90
57,1,57,0.80
58,1,58,4.20
59,1,59,3.50
60,1,60,4.90
61,1,61,0.20
62,1,62,2.30
63,1,63,3.70
64,1,64,3.50
65,1,65,0.40
66,1,66,0.40
67,1,67,3.50
68,1,68,0.20
69,1,69,1.70
70,1,70,0.50
71,1,71,2.80
72,1,72,4.60
73,1,73,2.50
74,1,74,4.70
75,1,75,3.40
76,1,76,0.50
77,1,77,4.10
78,1,78,4.10
79,1,79,2.70
80,1,80,1.90
81,1,81,3.20
82,1,82,4.00
83,1,83,0.80
84,1,84,3.50
85,1,85,2.40
86,1,86,4.70
87,1,87,4.40
88,1,88,3.80
89,1,89,4.10
90,1,90,0.10
91,1,91,0.80
92,1,92,3.20
93,1,93,4.50
94,1,94,1.00
95,1,95,0.40
96,1,96,4.50
97,1,97,4.20
98,1,98,3.50
99,1,99,1.60
100,1,100,1.10
101,1,101,1.70
102,1,102,2.80
103,1,103,3.40
104,1,104,2.70
105,1,105,2.00
106,1,106,1.80
107,1,107,3.00
108,1,108,2.00
109,1,109,4.60
110,1,110,2.60
111,1,111,3.30
112,1,112,2.50
113,1,113,2.20
114,1,114,1.20
115,1,115,3.50
116,1,116,3.20
117,1,117,4.40
118,1,118,2.20
119,1,119,2.90
120,1,120,4.80
121,1,121,2.20
122,1,122,3.30
123,1,123,4.90
124,1,124,0.00
125,1,125,1.30
126,1,126,3.60
127,1,127,1.90
128,1,128,4.90
129,1,129,3.40
130,1,130,3.40
131,1,131,4.30
132,1,132,4.20
133,1,133,1.30
134,1,134,1.50
135,1,120,4.30
136,1,136,1.70
137,1,137,4.30
138,1,138,0.90
139,1,139,3.10
140,1,140,0.60
141,1,141,0.40
142,1,142,1.70
143,1,143,1.50
144,1,144,0.90
145,1,145,0.10
146,1,146,0.60
147,1,147,1.80
148,1,148,0.80
149,1,149,2.50
150,1,150,0.30
151,1,151,1.80
152,2,1,4.50
153,2,2,2.60
154,2,3,1.10
155,2,4,2.10
156,2,5,2.80
157,2,6,3.90
158,2,7,3.60
159,2,8,2.70
160,2,9,4.20
161,2,10,0.20
162,2,11,3.20
163,2,12,2.80
164,2,13,1.40
165,2,14,0.70
166,2,15,1.90
167,2,16,3.40
168,2,17,0.90
169,2,18,2.50
170,2,19,2.90
171,2,20,2.50
172,2,21,0.90
173,2,22,4.10
174,2,23,2.10
175,2,24,2.20
176,2,25,0.30
177,2,26,1.80
178,2,27,1.70
179,2,28,4.90
180,2,29,4.50
181,2,30,1.20
182,2,31,4.50
183,2,32,3.00
184,2,33,2.50
185,2,34,4.60
186,2,35,3.30
187,2,36,1.10
188,2,37,2.10
189,2,38,0.80
190,2,39,0.40
191,2,40,2.70
192,2,41,4.00
193,2,42,2.10
194,2,43,1.60
195,2,44,1.80
196,2,45,3.70
197,2,46,2.00
198,2,47,0.00
199,2,48,3.20
200,2,49,4.60
201,2,50,4.80
202,2,51,1.50
203,2,52,2.50
204,2,53,3.80
205,2,54,4.60
206,2,55,2.30
207,2,56,4.40
208,2,57,1.00
209,2,58,3.90
210,2,59,3.90
211,2,60,0.90
212,2,61,1.10
213,2,62,0.80
214,2,63,1.00
215,2,64,1.20
216,2,65,4.70
217,2,66,1.50
218,2,67,1.10
219,2,68,3.30
220,2,69,0.10
221,2,70,3.80
222,2,71,0.20
223,2,72,4.40
224,2,73,0.20
225,2,74,4.80
226,2,75,4.30
227,2,76,0.30
228,2,77,2.90
229,2,78,2.10
230,2,79,0.80
231,2,80,3.30
232,2,81,3.40
233,2,82,3.40
234,2,83,2.60
235,2,84,2.40
236,2,85,0.70
237,2,86,1.60
238,2,87,3.90
239,2,88,3.80
240,2,89,3.50
241,2,90,3.70
242,2,91,3.70
243,2,92,2.60
244,2,93,3.30
245,2,94,1.20
246,2,95,0.80
247,2,96,3.30
248,2,97,0.20
249,2,98,0.30
250,2,99,2.00
251,2,100,4.00
252,2,101,1.10
253,2,102,2.60
254,2,103,2.00
255,2,104,1.90
256,2,105,2.60
257,2,106,1.80
258,2,107,2.10
259,2,108,2.90
260,2,109,4.80
261,2,110,2.70
262,2,111,2.30
263,2,112,4.90
264,2,113,0.50
265,2,114,4.00
266,2,115,0.60
267,2,116,1.60
268,2,117,4.10
269,2,118,4.90
270,2,119,3.90
271,2,120,3.00
272,2,121,3.20
273,2,122,4.00
274,2,123,3.40
275,2,124,4.50
276,2,125,3.20
277,2,126,2.20
278,2,127,4.40
279,2,128,2.60
280,2,129,3.20
281,2,130,2.00
282,2,131,1.20
283,2,132,4.90
284,2,133,2.80
285,2,134,0.40
286,2,120,0.30
287,2,136,1.20
288,2,137,0.20
289,2,138,0.60
290,2,139,4.70
291,2,140,2.70
292,2,141,3.00
293,2,142,1.20
294,2,143,1.60
